CustomerID,Lookalikes
C0001,"[('C0069', 0.9324018454753686), ('C0154', 0.923507363502334), ('C0026', 0.8874896445880608)]"
C0002,"[('C0029', 0.999813684565344), ('C0088', 0.984786970122018), ('C0062', 0.9810852132937548)]"
C0003,"[('C0038', 0.9938320157333372), ('C0160', 0.9439547841946113), ('C0189', 0.9272584290424002)]"
C0004,"[('C0165', 0.9983897071764074), ('C0075', 0.996932345616167), ('C0018', 0.9899798786769836)]"
C0005,"[('C0192', 0.995718940217707), ('C0140', 0.9899379450022263), ('C0186', 0.9758473072379672)]"
C0006,"[('C0168', 0.9976122332196319), ('C0187', 0.9947524750205508), ('C0023', 0.9734790768944411)]"
C0007,"[('C0146', 0.9958711037026335), ('C0115', 0.9630039760834646), ('C0050', 0.9598404807403083)]"
C0008,"[('C0113', 0.9893602460323576), ('C0136', 0.9808325118516203), ('C0195', 0.9700783025191715)]"
C0009,"[('C0150', 0.997311664094273), ('C0061', 0.972018762628306), ('C0198', 0.9360077645399814)]"
C0010,"[('C0176', 0.9815406676865456), ('C0111', 0.9548373552099874), ('C0144', 0.9534118096657199)]"
C0011,"[('C0023', 0.9991440715038482), ('C0139', 0.986516222171265), ('C0168', 0.9835304022749642)]"
C0012,"[('C0182', 0.987823341978667), ('C0163', 0.9766246624812591), ('C0124', 0.9534449600173368)]"
C0013,"[('C0099', 0.9837271790961863), ('C0145', 0.9603077240474874), ('C0200', 0.9539844416262719)]"
C0014,"[('C0097', 0.9983539075835826), ('C0025', 0.9625949847594074), ('C0110', 0.9473054652620689)]"
C0015,"[('C0131', 0.9925119270458044), ('C0191', 0.9871236669843362), ('C0116', 0.9791389380058954)]"
C0016,"[('C0040', 0.9995530731495355), ('C0042', 0.9154518900768102), ('C0185', 0.858864585557131)]"
C0017,"[('C0075', 0.9888970161957024), ('C0165', 0.9886184836166806), ('C0090', 0.986716871870409)]"
C0018,"[('C0041', 0.9939468680584729), ('C0004', 0.9899798786769836), ('C0165', 0.9895331980331187)]"
C0019,"[('C0073', 0.9727184065741334), ('C0032', 0.9658734468311945), ('C0043', 0.959913207143097)]"
C0020,"[('C0130', 0.9976782077607544), ('C0140', 0.9814533519542088), ('C0005', 0.9706942289178198)]"
